,content,id,stems
98,Make it into a trampoline - foot touch.,1251,"[u'touch', u'make']"
99,"make a rug that can display different games like twister, hopscotch etc.",1458,"[u'differ', u'like', u'make', u'game', u'display']"
100,Dance floor carpet that flashes the next foot print spot after dancer hits appropriate spot.,1490,[]
101,"It could be used as a versatile game board, like for board games.",1527,"[u'use', u'like', u'could', u'it', u'game']"
102,"A backpack for kids, they can play with it on the bus.",1569,"[u'a', u'kid']"
103,Portable tv,521,[]
104,"Be able to use your computer on the go, on any surface with a piece of cloth.",1214,"[u'use', u'cloth', u'go']"
105,"used with phone for larger screen/portability,",1482,[u'use']
106,use to show movies anywhere,1573,"[u'use', u'show']"
107,Use the fabric as a projector to watch movies,1831,"[u'use', u'fabric']"
108,Parents could show kids movies int he back seat of the car without having to have a portable DVD player.,1908,"[u'could', u'show', u'kid']"
109,use it to project your smart phone screen,2155,[u'use']
110,holders for different foods that display the food on the outside,272,"[u'differ', u'display']"
111,An oven mit that is heat sensitive that turns red when something is very hot and cold when very cold.,1470,[u'someth']
112,Put a small piece in a car where it can display directions through touch.,337,"[u'touch', u'put', u'display']"
113,car upholstery that lightens in hot weather,444,[]
114,Interactive map at a mall hang it up and touch were you want to go,1316,"[u'interact', u'go', u'touch']"
115,Use as a strategic planning surface in wartime. A foldable interactive map,1570,"[u'a', u'use', u'interact']"
116,to have the fabric on car doors so they can display images and videos while driving in traffic so other people will see the information while on the roads,2027,"[u'fabric', u'imag', u'peopl', u'display']"
117,Newspaper screen that expands certain articles when you touch them.,1408,[u'touch']
118,Perhaps a new medium to replace magazine pages?,1786,[]
119,"Single page, fabric books that can keep a saved state and be changed.",2024,"[u'fabric', u'chang']"
