,content,id,stems,edge_weights,prototypicality,cdf
10,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,291,"set([u'load', u'use', u'identifi', u'like', u'handkerchief', u'commun', u'peopl', u'imag', u'alzheim', u'lost', u'easili', u'inform', u'patient', u'they', u'otherwis', u'get', u'simpl', u'disabl', u'speak'])","[0.03225806451612903, 0.3333333333333333, 0.1111111111111111, 0.5, 0.5, 0.125, 0.1, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.03225806451612903, 0.08571428571428572, 0.03333333333333333, 0.03333333333333333, 0.05714285714285714, 0.08333333333333333, 0.03333333333333333, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06666666666666667, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.25, 0.5, 0.5, 0.125, 0.1, 0.5, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.125, 0.125, 0.07142857142857142, 0.13333333333333333, 0.125, 0.25, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.125, 0.125, 0.125, 1.0, 0.14285714285714285, 0.1111111111111111, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.14285714285714285, 0.1111111111111111, 1.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.23076923076923078, 0.14285714285714285, 0.125, 0.125, 0.2857142857142857, 0.125, 0.125, 0.125, 0.125, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.1111111111111111, 0.1, 0.1, 0.2222222222222222, 0.1, 0.1, 0.1, 0.1, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 1.0, 1.0, 1.0]",0.4,"[0.0, 0.23391812865497078, 0.36257309941520471, 0.5906432748538013, 0.5906432748538013, 0.9064327485380117, 0.9064327485380117, 0.9064327485380117, 0.9064327485380117, 1.0]"
11,Door mat that could leave messages for people at the door.,1628,"set([u'door', u'mat', u'peopl', u'could', u'messag', u'leav'])","[0.5, 0.2857142857142857, 0.07692307692307693, 0.5, 0.5, 0.14285714285714285, 0.08333333333333333, 1.0, 1.0, 0.1875, 0.14285714285714285, 0.14285714285714285, 0.08333333333333333, 0.08333333333333333, 1.0]",0.4,"[0.0, 0.26666666666666666, 0.53333333333333333, 0.59999999999999998, 0.59999999999999998, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 1.0]"
12,it can be used to do skype sessions so someone can feel and touch objects,2177,"set([u'use', u'feel', u'object', u'someon', u'session', u'skype', u'touch'])","[0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.08108108108108109, 0.5, 0.5, 0.5, 0.5, 0.09090909090909091, 1.0, 1.0, 1.0, 0.1, 1.0, 1.0, 0.1, 1.0, 0.1, 0.1]",0.5,"[0.0, 0.52380952380952372, 0.52380952380952372, 0.52380952380952372, 0.52380952380952372, 0.71428571428571419, 0.71428571428571419, 0.71428571428571419, 0.71428571428571419, 1.0]"
13,It can be used by doctors in order to show patients and family members certain things,2187,"set([u'use', u'patient', u'show', u'certain', u'doctor', u'it', u'member', u'thing', u'famili', u'order'])","[0.06666666666666667, 0.1875, 0.03225806451612903, 0.03333333333333333, 0.125, 0.03333333333333333, 0.03125, 0.03333333333333333, 0.03225806451612903, 0.1111111111111111, 0.3333333333333333, 0.5, 0.14285714285714285, 0.5, 0.25, 0.5, 0.3333333333333333, 0.1111111111111111, 0.125, 0.16666666666666666, 0.125, 0.1, 0.125, 0.1111111111111111, 0.5, 0.14285714285714285, 0.5, 0.25, 0.5, 0.3333333333333333, 0.16666666666666666, 1.0, 0.3333333333333333, 1.0, 0.5, 0.16666666666666666, 0.2857142857142857, 0.16666666666666666, 0.14285714285714285, 0.3333333333333333, 1.0, 0.5, 0.3333333333333333, 0.25, 0.5]",0.4,"[0.0, 0.24444444444444446, 0.51111111111111118, 0.73333333333333339, 0.73333333333333339, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
14,use them on a float for a parade to show whatever theme you are trying to represent during the event,251,"set([u'tri', u'use', u'show', u'parad', u'float', u'repres', u'theme', u'whatev', u'event'])","[0.03333333333333333, 0.125, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 0.1875, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.1, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333]",0.6,"[0.0, 0.22222222222222221, 0.41666666666666663, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 0.58333333333333337, 1.0]"
15,"hot air balloon shows,",1499,"set([u'hot', u'balloon', u'air'])","[0.3333333333333333, 0.3333333333333333, 1.0]",0.6,"[0.0, 0.0, 0.0, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
16,Use during fashion shows to highlight clothing on the models.,1652,"set([u'use', u'fashion', u'show', u'cloth', u'highlight', u'model'])","[0.06666666666666667, 0.1875, 0.13333333333333333, 0.03333333333333333, 0.03225806451612903, 0.1111111111111111, 0.09523809523809523, 0.5, 0.3333333333333333, 0.07407407407407407, 0.125, 0.1111111111111111, 0.047619047619047616, 0.045454545454545456, 0.5]",0.6,"[0.0, 0.59999999999999998, 0.79999999999999993, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0, 1.0, 1.0, 1.0]"
17,back drops for theater productions. This makes scenery easy to change from scene to scene,2124,"set([u'product', u'theater', u'easi', u'make', u'drop', u'back', u'scene', u'sceneri', u'thi', u'chang'])","[1.0, 1.0, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 1.0, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.07692307692307693, 1.0, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.07692307692307693, 0.07142857142857142, 0.07692307692307693, 0.07142857142857142, 0.07142857142857142, 0.05714285714285714, 0.5, 1.0, 0.5, 0.5, 0.041666666666666664, 0.5, 0.3333333333333333, 0.3333333333333333, 0.04, 0.5, 0.5, 0.041666666666666664, 0.3333333333333333, 0.08333333333333333, 0.04]",0.4,"[0.0, 0.37777777777777777, 0.37777777777777777, 0.44444444444444442, 0.44444444444444442, 0.77777777777777779, 0.77777777777777779, 0.77777777777777779, 0.77777777777777779, 1.0]"
18,You can use it to display videos while taking shower or brushing your teeth.,654,"set([u'use', u'shower', u'video', u'take', u'teeth', u'you', u'display', u'brush'])","[0.03333333333333333, 0.06451612903225806, 0.03225806451612903, 0.03333333333333333, 0.09090909090909091, 0.11627906976744186, 0.03333333333333333, 0.3333333333333333, 0.5, 1.0, 0.16666666666666666, 0.05555555555555555, 1.0, 0.25, 0.3333333333333333, 0.125, 0.16666666666666666, 0.3333333333333333, 0.5, 0.14285714285714285, 0.05263157894736842, 0.5, 0.16666666666666666, 0.05555555555555555, 1.0, 0.09090909090909091, 0.16666666666666666, 0.05555555555555555]",0.4,"[0.0, 0.39285714285714279, 0.64285714285714279, 0.7857142857142857, 0.7857142857142857, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 1.0]"
19,A towel that is heat sensitive and adjusts its color otherwise.,1443,"set([u'a', u'towel', u'sensit', u'color', u'heat', u'adjust', u'otherwis'])","[0.2, 0.16666666666666666, 0.08333333333333333, 0.16666666666666666, 0.2, 0.16666666666666666, 0.5, 0.125, 0.5, 1.0, 0.5, 0.1111111111111111, 1.0, 0.5, 0.3333333333333333, 0.1111111111111111, 0.125, 0.1111111111111111, 0.5, 0.3333333333333333, 0.5]",0.4,"[0.0, 0.19047619047619047, 0.52380952380952372, 0.61904761904761907, 0.61904761904761907, 0.90476190476190466, 0.90476190476190466, 0.90476190476190466, 0.90476190476190466, 1.0]"
20,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,683,"set([u'offer', u'food', u'coat', u'could', u'restaur', u'display', u'chef', u'waiter', u'menu', u'imag'])","[0.5, 1.0, 0.08333333333333333, 0.3333333333333333, 0.05555555555555555, 1.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.5, 0.07692307692307693, 0.25, 0.1111111111111111, 0.5, 0.5, 0.25, 0.1, 0.08333333333333333, 0.3333333333333333, 0.05555555555555555, 1.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.07142857142857142, 0.2, 0.08333333333333333, 0.08333333333333333, 0.07142857142857142, 0.23529411764705882, 0.05, 0.3333333333333333, 0.3333333333333333, 1.0, 0.09090909090909091, 0.05555555555555555, 0.05555555555555555, 0.05, 0.17391304347826086, 1.0, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111, 0.09090909090909091]",0.4,"[0.0, 0.46666666666666667, 0.51111111111111118, 0.75555555555555565, 0.75555555555555565, 0.84444444444444455, 0.84444444444444455, 0.84444444444444455, 0.84444444444444455, 1.0]"
21,Interactive menus at restaurants - press to learn more about an item,2130,"set([u'menu', u'interact', u'restaur', u'item', u'learn', u'press'])","[0.1, 1.0, 0.25, 0.3333333333333333, 0.3333333333333333, 0.1, 0.1111111111111111, 0.125, 0.125, 0.25, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 1.0]",0.4,"[0.0, 0.20000000000000001, 0.33333333333333331, 0.73333333333333328, 0.73333333333333328, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 0.8666666666666667, 1.0]"
22,Menu boards for restaurants that can be changed or let people know when things are sold out,2145,"set([u'menu', u'sold', u'restaur', u'thing', u'let', u'board', u'peopl', u'chang', u'know'])","[0.25, 1.0, 0.2, 0.3333333333333333, 0.25, 0.1111111111111111, 0.038461538461538464, 0.3333333333333333, 0.25, 0.25, 0.5, 0.3333333333333333, 0.125, 0.04, 0.5, 0.2, 0.3333333333333333, 0.25, 0.1111111111111111, 0.038461538461538464, 0.3333333333333333, 0.3333333333333333, 0.25, 0.1111111111111111, 0.08, 0.3333333333333333, 0.5, 0.14285714285714285, 0.041666666666666664, 1.0, 0.125, 0.04, 0.5, 0.03333333333333333, 0.14285714285714285, 0.041666666666666664]",0.4,"[0.0, 0.30555555555555558, 0.47222222222222221, 0.83333333333333326, 0.83333333333333326, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 1.0]"
23,Interactive text books for students,1603,"set([u'text', u'interact', u'book', u'student'])","[0.125, 0.5, 1.0, 0.1111111111111111, 0.125, 0.5]",0.4,"[0.0, 0.16666666666666666, 0.5, 0.5, 0.5, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 1.0]"
24,You can use it for research with aquatic animals. And show them stimulating photos underwater,1754,"set([u'and', u'use', u'anim', u'show', u'aquat', u'stimul', u'research', u'photo', u'you', u'underwat'])","[0.03333333333333333, 1.0, 0.125, 1.0, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 0.03333333333333333, 0.1875, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.09090909090909091, 0.03333333333333333, 0.125, 1.0, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 0.125, 0.125, 0.125, 0.125, 0.07692307692307693, 0.125, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 1.0, 1.0, 0.16666666666666666, 1.0, 1.0, 0.16666666666666666, 1.0, 0.16666666666666666, 1.0, 0.16666666666666666]",0.6,"[0.0, 0.20000000000000001, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 1.0]"
25,in the classroom make a giant interactive map,1973,"set([u'classroom', u'map', u'make', u'interact', u'giant'])","[0.3333333333333333, 0.07692307692307693, 0.125, 1.0, 0.06666666666666667, 0.375, 0.3333333333333333, 0.10526315789473684, 0.07692307692307693, 0.125]",0.5,"[0.0, 0.40000000000000002, 0.59999999999999998, 0.80000000000000004, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 1.0]"
26,It can be used in school as a way to show kids how different climates in different places might feel,2189,"set([u'use', u'school', u'climat', u'show', u'feel', u'it', u'place', u'way', u'differ', u'might', u'kid'])","[0.06451612903225806, 0.03333333333333333, 0.1875, 0.06666666666666667, 0.125, 0.03333333333333333, 0.03225806451612903, 0.02702702702702703, 0.03333333333333333, 0.06060606060606061, 0.3333333333333333, 0.1, 0.25, 0.125, 0.3333333333333333, 0.25, 0.1, 0.3333333333333333, 0.14285714285714285, 0.125, 0.5, 0.16666666666666666, 1.0, 0.5, 0.125, 1.0, 0.2, 0.1111111111111111, 0.16666666666666666, 0.125, 0.1111111111111111, 0.06666666666666667, 0.125, 0.18181818181818182, 0.14285714285714285, 0.5, 0.3333333333333333, 0.1111111111111111, 0.5, 0.16666666666666666, 0.16666666666666666, 0.14285714285714285, 0.16666666666666666, 0.16666666666666666, 0.2222222222222222, 0.5, 0.125, 1.0, 0.2, 0.1111111111111111, 0.5, 0.16666666666666666, 0.125, 0.08333333333333333, 0.2]",0.4,"[0.0, 0.29090909090909089, 0.72727272727272729, 0.83636363636363631, 0.83636363636363631, 0.94545454545454544, 0.94545454545454544, 0.94545454545454544, 0.94545454545454544, 1.0]"
27,replays at the sporting event,1575,"set([u'replay', u'sport', u'event'])","[0.25, 0.3333333333333333, 0.4]",0.5,"[0.0, 0.0, 0.0, 0.66666666666666674, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
28,Schools can use it as a scoreboard at games,2148,"set([u'game', u'school', u'scoreboard', u'use'])","[0.14285714285714285, 0.2, 0.09375, 0.3333333333333333, 0.06451612903225806, 0.03333333333333333]",0.6,"[0.0, 0.5, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
29,It will remind you about daily activities.,746,"set([u'remind', u'activ', u'it', u'daili'])","[0.5, 0.14285714285714285, 0.5, 0.16666666666666666, 1.0, 0.16666666666666666]",0.4,"[0.0, 0.0, 0.5, 0.5, 0.5, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 1.0]"
30,work projekcts,1066,"set([u'work', u'projekct'])",[0.3333333333333333],0.6,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
31,keep reminders,1083,"set([u'remind', u'keep'])",[0.25],0.6,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
32,WiFi connectivity which could be used to search google right through the clothing.,1363,"set([u'search', u'right', u'googl', u'could', u'wifi', u'use', u'cloth', u'connect'])","[1.0, 1.0, 0.08333333333333333, 1.0, 0.03333333333333333, 0.047619047619047616, 1.0, 1.0, 0.08333333333333333, 1.0, 0.03333333333333333, 0.047619047619047616, 1.0, 0.08333333333333333, 1.0, 0.03333333333333333, 0.047619047619047616, 1.0, 0.08333333333333333, 0.13513513513513514, 0.1, 0.08333333333333333, 0.03333333333333333, 0.047619047619047616, 1.0, 0.13333333333333333, 0.03333333333333333, 0.047619047619047616]",0.6,"[0.0, 0.5714285714285714, 0.64285714285714279, 0.64285714285714279, 0.64285714285714279, 0.64285714285714279, 0.64285714285714279, 0.64285714285714279, 0.64285714285714279, 1.0]"
33,ability to write notes on clothes with touch sense,1591,"set([u'note', u'write', u'cloth', u'abil', u'touch', u'sens'])","[0.5, 0.045454545454545456, 0.5, 0.09090909090909091, 0.5, 0.047619047619047616, 1.0, 0.1, 1.0, 0.047619047619047616, 0.10714285714285714, 0.047619047619047616, 0.1, 1.0, 0.1]",0.4,"[0.0, 0.59999999999999998, 0.59999999999999998, 0.59999999999999998, 0.59999999999999998, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 0.79999999999999993, 1.0]"
34,clothing with smartphone technology in a display,1810,"set([u'cloth', u'technolog', u'smartphon', u'display'])","[0.045454545454545456, 0.047619047619047616, 0.08333333333333333, 0.5, 0.05263157894736842, 0.05555555555555555]",0.4,"[0.0, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0, 1.0]"
35,"a shirt that you can load data into the sleeve on, in case you need notes about something later",1921,"set([u'load', u'case', u'shirt', u'someth', u'later', u'note', u'sleev', u'need', u'data'])","[0.5, 0.125, 0.2, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.14285714285714285, 0.25, 1.0, 0.5, 1.0, 0.5, 1.0, 0.1, 0.14285714285714285, 0.125, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.25, 0.2, 0.25, 0.2, 0.25, 0.5, 1.0, 0.5, 1.0, 0.5, 0.3333333333333333, 0.5, 0.5, 1.0, 0.5]",0.4,"[0.0, 0.027777777777777776, 0.27777777777777779, 0.5, 0.5, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 1.0]"
36,fabric billboards with advertisements,200,"set([u'billboard', u'advertis', u'fabric'])","[0.2857142857142857, 0.06666666666666667, 0.07142857142857142]",0.6,"[0.0, 0.66666666666666674, 0.66666666666666674, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
37,Create wearable advertisements where messages/brands on shirts/pants change periodically,573,"set([u'advertis', u'period', u'chang', u'creat', u'wearabl'])","[0.25, 0.07692307692307693, 0.125, 0.2, 0.041666666666666664, 0.2, 0.5, 0.03571428571428571, 0.08333333333333333, 0.16666666666666666]",0.6,"[0.0, 0.40000000000000002, 0.80000000000000004, 0.90000000000000002, 0.90000000000000002, 1.0, 1.0, 1.0, 1.0, 1.0]"
38,Business ad sheet display. Used to advertise business info in front of shop.,608,"set([u'info', u'shop', u'use', u'sheet', u'ad', u'busi', u'front', u'advertis', u'display'])","[1.0, 0.03333333333333333, 0.3333333333333333, 1.0, 1.0, 1.0, 0.25, 0.05555555555555555, 0.03333333333333333, 0.3333333333333333, 1.0, 1.0, 1.0, 0.25, 0.05555555555555555, 0.03125, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.030303030303030304, 0.11627906976744186, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.10526315789473684, 1.0, 1.0, 0.25, 0.05555555555555555, 1.0, 0.25, 0.05555555555555555, 0.25, 0.05555555555555555, 0.047619047619047616]",0.4,"[0.0, 0.3888888888888889, 0.44444444444444442, 0.72222222222222221, 0.72222222222222221, 0.72222222222222221, 0.72222222222222221, 0.72222222222222221, 0.72222222222222221, 1.0]"
39,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.,806,"set([u'week', u'differ', u'target', u'day', u'audienc', u'base', u'larg', u'time', u'billboard', u'advertis', u'order', u'chang'])","[0.125, 1.0, 0.2, 1.0, 0.2, 0.5, 0.3333333333333333, 0.2, 0.25, 0.5, 0.041666666666666664, 0.125, 0.18181818181818182, 0.125, 0.18181818181818182, 0.1111111111111111, 0.2222222222222222, 0.08333333333333333, 0.09090909090909091, 0.1111111111111111, 0.06666666666666667, 0.2, 1.0, 0.2, 0.5, 0.3333333333333333, 0.2, 0.25, 0.5, 0.041666666666666664, 0.2, 0.42857142857142855, 0.16666666666666666, 0.6, 0.1111111111111111, 0.125, 0.16666666666666666, 0.11538461538461539, 0.2, 0.5, 0.3333333333333333, 0.2, 0.25, 0.5, 0.041666666666666664, 0.16666666666666666, 0.6, 0.1111111111111111, 0.125, 0.16666666666666666, 0.16, 0.25, 0.16666666666666666, 0.2, 0.3333333333333333, 0.04, 0.14285714285714285, 0.16666666666666666, 0.25, 0.08, 0.2857142857142857, 0.16666666666666666, 0.07407407407407407, 0.2, 0.07692307692307693, 0.04]",0.4,"[0.0, 0.22727272727272729, 0.66666666666666663, 0.81818181818181823, 0.83333333333333337, 0.92424242424242431, 0.95454545454545459, 0.95454545454545459, 0.95454545454545459, 1.0]"
