id,content
264,Wearable sandwich board for advertising. Video content and messages could be tailored to the demographics of the area of the city where workers are sent to spread messages about sales and other retail offerings.
265,"Informative sports wear.  Displays shows your current fitness level and activity.  Calories burned, distance travelled, time left to exercise can all be seen readily"
266,Make a baby blanket that when touched displays the voice and image of a parent to comfort a child.
269,Use in art classes in schools where buying art supplies is expensive.  Allow students to use an app that simulates painting and drawing on canvas.
271,Craft stores can show crafts in store on the screen that is hanging up near different craft things.
272,holders for different foods that display the food on the outside
274,multiple games in one
275,The ultimate Halloween costume.  Basic coverall displays the viewer's worst fears.
276,put it on a wall as a poster that can change the picture intermittently
277,Meetings can use them as individual projectors and set them in front of each person.
278,picnic blanket that changes depending on where you are
279,put a picture of your spouse on it and was yourself with it
280,Make clothing completely out of fabric where it can be changed to any color or print to fit any occasion.
281,socks that change color or pattern
283,Replace control devices on motorized wheelchairs with a sensitive touchpad/armrest for those with mobility issues.
285,"Put it on a shirt and have ""image changing"" clothing."
286,fabric clock to hang on the wall
288,Wall sized paint chips. The fabric could project exact shades of color from the paint selection offered by a manufacturer so consumers could see how the choices look on site with the actual lighting of the room.
289,Make apparel for athletes that monitors your body and provides information to an interactive app.
290,portable fabric TV that you can take anywhere
291,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost
292,Make hospital linens that can monitor patients vital statistics. Make them so they can change color should something be wrong.
294,put a picture of the family on it and use it for your baby to make the baby feel safe
295,Rave-wear.  Clothing that when worn at music events like raves or concerts changes colors and patterns in time with the music.
296,fabric computer monitor
298,Party favors.
300,put weird pictures on it to make a great costume for Halloween
301,Create napkins in restaurants that can display desert menus while eating dinner.
302,fabric monitor for doctors in the field
303,fabric xray display
305,"using the touch feature, have it change pictures depending on where you touch it"
306,bed sheets (sold in adult stores) which display an array of colors during love making
307,"Use for a tent - sides and canopy can show different designs, colors, etc.   Large event tents to advertise company logo, scenes, etc.   Wedding tents for something different and can show pictures of bride and groom when younger and dating memories leading up to wedding.   A kaleidoscope on the tent, or billboard(s)  for rock concerts, special events (grand openings), etc."
308,you can have different colored shirts or pants very easily without needing to buy duplicates
309,book
310,"A dog collar that displays the dogs information (address, phone number, etc.) and glows in the dark."
311,Re-usable newspapers.  The newspaper receives the display from the news organization.  Only one newspaper ever needed to purchase.  Cut down on printing costs but preserve the feel of newspaper for those who like that.
312,Wearable countdown clock for transit workers. The fabric could be used with wi-fi transmission of the subway arrival times to enhance the visibility of arrival information in subway stations. If passengers were unable to see a countdown clock from where they were standing on the platform they would be able to look for a transit worker whose clothing would display the same information.
313,A childrens backpack that can be changed with what they want on it.
316,put it on a pillow so you can sleep on your favorite picture
317,umbrellas that change colors when rain drops hit them
319,"make a ""welcome mat"" with your favorite picture or video"
322,Car seat multimedia centers.  Car fabric can be used to generate gaming/tv screens for passengers to watch.
323,Replace current projector screens.
325,"use it as a rug where everytime you step on it, the picture changes"
326,Personalized dog bed. The fabric could display images of the dog taken at various times so the dog would al;ways be there even if not in the bed.
328,Create a water game that has animals displayed on the fabric underwater.
330,"Create shirts out of the fabric and play a game where if you get ""displayed"" you are out."
332,"Workers outfits that can change depending on the season or possible sales they have. A simple touch can even change it through out the day, such as if a restaurant's specials have changed and it needs to be updated."
337,Put a small piece in a car where it can display directions through touch.
339,Construction coverings.  The cloth covering shows what the building will look like when its finished.
341,A tent could have it to produce stars inside the tent. So little kids could camp indoors and still see the stars.
344,use it as a couch covering with favorite pictures
346,Fashion (Change the color and or pattern of your outfit)
349,Crime (chameleon like matching your scenery so you blend in)
351,"Have clothes that will allow the designs to change, so someone can have a different a different look every day of the week with the same clothes."
353,"Hat that changes color when you touch it for staying cool/warm (one touch light, another dark)."
354,"Animated Building coverings, changing color/looks much faster then painting."
357,Wearable watch on your long sleeve shirt.
360,Heads up display on the brim of your hat.
361,"Use it on interior of cars. That way when a salesman is showing cars to customers, they can easily show how different colors of interior would look."
364,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)"
373,People can drape a large fabric anywhere and use it as a movie screen. That way it is very portable.
376,Reusable media (download your favorite book/newspaper to it to take with you traveling).
378,clothes that change color/pattern with emotion using the touch sensor
379,"Decoration, Cover your living room with it and change your colors depending on your mood."
383,clothes that change color depending on the weather forecast
385,"Sports clothes that can change through out the year, showing your support for your team as a season progresses."
387,"Teaching tool, use it to teach colors and patterns interactively to children. When they touch the right answer it changes to show they answered correctly."
388,clothes that change color to make you more or less prominent in your environment depending on whether you want to stand out/blend in
392,"National defense, rather then camouflaged netting, have a camera that records the surrounding area and matches the cover to the environment."
396,a kids magic kit with a curtain that changes color to hide similarly colored objects/disappear
399,"Prom dresses that a girl can change the design on in moments, during her special day. It's as easy as just touching it to do so."
408,store text/images in fabric for spying purposes
410,"Teaching tool, can be moved around and interacted with and not as large and inflexible as a chalk board.  Can project class displays and can be passed around for students to get a closer look rather then having to get up and look at it."
417,Halloween costumes with safety reflectors built in.  Can be turned on and off depending on if you are outside and need them or inside and don't want the look of the costume ruined by a yellow band.
419,Perfect color matching for fashion.  Take a photo of the color you want and project it on the fabric.
424,diving suit that camouflages itself to better observe wildlife
426,Portable energy transference.  Able to change the color of coverings for pool/hot tub/camping showers to allow them to soak up the heat from the sun's rays.  Also able to change to a non dark color to keep the same things cooler.
429,changeable color/pattern fabric wallpaper
432,flags/pompoms for sports games with rapidly changing team colors and logos
438,curtains that darken in high sunlight hours
444,car upholstery that lightens in hot weather
493,Colorful bathwater for kids
494,"Use fabric as t-shirts to display team name, score and a message i.e. ""Go Cowboys!"""
496,Bedsheets
497,Use fabric on tote bag for a shopping list/reminder.
498,Clothes change colors
499,Shirts that you can change the images on
502,Change furniture color
504,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.
505,Clothes with customizable appearances.
506,Make your own poster
509,Super thin tv
511,Change color of blankets
512,Cheaper alternative for touch displays where high resolution isn't a priority.
513,Touch screens that fold up like handkerchiefs. They could fold out into a large surface that connects to your phone.
514,"Have employees wear shirts with special offers on in stores, i.e. ""Melons on special today!"""
515,Use it as an interactive t shirt. Something where people can change the design of their shirt at will.
516,Pocket  tv
517,"Create page-like fabric for ebook display for those people who still want the feel of paper books,"
518,Foldable computer
519,Use as overshirts for construction workers on or near roads with flashing lights/hazard signs etc.
521,Portable tv
524,Displaying the fabric for cooking recipes in the kitchen.
525,"Interactive tent could show you the weather, identify the stars overhead, change color to match your surroundings, or change color to reflect the temperature outside."
526,Color your walls
527,You could use it to make color changing draperies. It would be nice to change the color of your blinds and curtains at the touch of a button.
529,Holiday decorations
531,"Use large pieces of fabric to display artwork on in a nice frame, the artwork can be changed easily."
532,Fabric overlay for use on building walls with customizable paint or pattern appearances to replace traditional painting or wallpapering.
534,Replace a chalkboard in the classroom
535,"Displayed in hotel bathrooms, etc for marking purposes."
536,TVs or monitors with fabric screens would be more durable and far less easily damaged than glass screens.
539,immersive game playing/video. set up a spherical cloth/tent; get inside; use tech to display environment/movie.
541,"Use banner sized fabric to display advertisements either on temporary construction areas, ""Pardon our Dust"" or ""Coming soon - yet another Starbucks!"""
544,"When purchasing something on line, this feature may be useful to customers if the information from the device was displayed on the info page for the item"
546,Warning sign
547,"A more convenient way to do maritime flag signaling, with flags that can change display while on the pole."
549,"Pop up televisions or monitors, on a plastic stand, that were lightweight and easy to put away would be really nice."
551,Wearable advertising
552,"Clothes that have interchangeable logos, etc."
553,"Use medium to large sized pieces of fabric for protestors, their message can scroll across, ""Say yes to Gun Control! 98% of Americans can't be wrong!"" etc"
554,curtains that change colors/play background images like jungle scenery.
556,Entertain a child
559,clothes that change colors
560,Advertisement
562,Welcome rugs with many different styles showing at random.
563,Use as message boards on bus/train/cabs either city type messages or advertising.
564,You could make sports jerseys where you can change the players name at will.
565,"scratch that last idea, i just realized the device ""puts"" images on the cloth. i thought it said it would ""make"" images of the cloth. sorry"
567,Allows you to hang a sheet on a clothes line and create an outdoor TV screen
569,"People can make clothes, or bags with detailed high quality images on them or their choice and would be better than those iron on things"
570,Use as a projection screen to screen videos for a party.
571,"Blankets or sheets that were also sex toys would be fun. Could change the color to ""get lucky red"" and use the screen to show positions like twister."
572,Sofa sets that have can be changed to different colors to match the customers room colors.
573,Create wearable advertisements where messages/brands on shirts/pants change periodically
574,Create a picture album throw blanket which cycles through pictures
575,"Used as wrapping fabric for presents, with programmable alternating displays."
576,Use in a corporate setting to train staff via videos or power point presentations.
577,modeling dynamic processes with shaped cloth and display
579,Make billboards that can display in real time weather conditions.
580,Create writeable work pants where the user can write reminders/things to remember on their clothes with their finger.
581,fabric maps for soldiers lost in combat.
582,"it would be easier for people to make designs for fabrics by creating images first, and then printing them on the fabric"
583,Used as a smartphone or tablet display on shirt sleeves as part of a wearable computer package.
584,I would like to have fabric wallpaper that changed colors according to the temperature and light outside. Wallpaper that would glow and brighten up the house in winter would be really nice. Even better if it could deliver our necessary vitamin d at the same time.
585,Use on the floor as a dancing step instructor - i.e. sillouhettes of feet appear where yours should be.
586,Portable magazines - can be used to store favorite magazines on the go.
588,phone conferencing through your clothes
589,"Use as a musical play mat for kids, pictures of shapes make specific sounds. Make it big enough for more than one kid. In fact make it big enough for a whole classroom of kids."
590,kids trick or treating at night will be highly visible with light up custom costumes
591,Exterior decorative fabrics - used to shade areas in the yard with nature displays.
592,Tie in with Twister to make a spinner unneccesary - spots light up where the next body part should go.
595,Decorative table napkins.  Napkins could change color/design and even respond to touch.
597,"Use as a flag in hotels, displaying the flag of the nationality of the person checking in."
598,Bandages that could display first aid instructions would be good. Even better would be if bandages or a cast could show ongoing diagnostics about the wound or break.
599,"shirt display of running time, heart rate, blood pressure, speed etc. can be generalized to any workout"
600,Display spooky images as part of a haunted halloween house.
601,"Used as a display on a flat stretched cloth surface to create the image of a flag waving in the wind, independent of actual wind conditions."
602,"people could be very creative and make things their own style by putting their own images on things they already own. like monograms on a shirt, or a bag, or an image of their pet on the collar of their shirt. They could make things uniqe and it wouldn't be as dificult as an iron on thing"
603,Wallpaper idea again - it would be perfect if I could change the color of my walls with a touch of a button.
606,Make a shirt that allows other to promote items on them at events. This would allow advertising to be done digitally and more paper would be saved.
607,group gathering wearing shirts that proclaim their group name and make them customizable
608,Business ad sheet display. Used to advertise business info in front of shop.
609,"Use to manufacture kids play houses and change the image of the house periodically, i.e. castle, log cabin, cottage, tiki hut."
610,Pop up books with fabric displays could have interactive video and images.
611,the clothing industry would be able to use this device to make better quality graffic tees and such by printing what they want on their clothes and them not fading or peeling off as easily.
614,Use large banner sized pieces to display weather and temperature news.
615,headbands to wear in hair
616,Use as a projection screen for live twitter feeds at events such as comic con.
617,Use it as a fabric for beds that can be changed on demand.
620,many people wear cloth facial masks at night. possible applications include imitation sunrise(brightening) inside of a noisy alarm. also possibly movies etc
623,Create novelty kites which change colors.
624,"Directional carpets - Carpet with directional arrows pointing customers to different locations, such as, banks, supermarkets, etc."
625,Use as a teaching aid for kids i.e. math
627,"gifting would be more personalized and more creative with this. people could make something really special, and easily print images on the item, and give it as a gift that was personalized just for them."
628,"Allow shirts to broadcast information from ""phone"" on them such as time weather date. You could also make this into some sort of band."
632,pop up tents displays. Used for tent kiosks to display marketing info.
633,sports teams gear
635,Blimp advertising with fabric display panels.
636,this would work well with dolls clothing and other toys that have cloth on them. parents could make interesting clothing for their childrens dolls and action figures.
639,Bed sheets that can identify and signal whether they are clean or dirty.
640,holograms
642,"this might be good for advertising as well, since videos could be displayed on it."
644,"set up a cylindrical frame clad in a transparent cloth, have movement trackers so that images projected move with people. basically mimicking a hologram. I suppose track could be made unnecessary with geometrically shaped cloth on a fine scale"
646,"t-shirts with built in fabric display. It can be used at kids parties for fun.
use it to display ads on street. Hire people who can wear it.. 
hats with display on the front. You can easily take it off and watch your favorite video
fabric wristband with display attached to it. It'll look similar to a watch. You can wear it anytime and it'll be cheap because it's made out of fabric.
towel.You can use it to display videos while taking shower or brushing your teeth.
car seat cover. People in the back seat can watch movies 
carpet. You can change the display image and you have new carpet whenever you want"
647,"if videos could be displayed on it, it would be easier to have a small peive of cloth that you could just shove in your pocket and not have to worry about breaking."
648,t-shirts with built in fabric display.
649,It can be used at kids parties for fun. use it to display ads on street.
650,hats with display on the front.
652,fabric wristband with display attached to it. It'll look similar to a watch.
654,towel.You can use it to display videos while taking shower or brushing your teeth.
656,car seat cover. People in the back seat can watch movies
658,carpet. You can change the display image and you have new carpet whenever you want
665,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.
669,team clothing. they could easily display team colors/video/scores on uniforms for sports teams.
672,"music videos on clothing for music lovers like me! it would be like youtube, always playing videos on your clothing."
676,Make presentations anywhere by carrying a folded sheet around
677,"Watch movies in your backyard, hanging a screen from a clothesline"
682,watch movies on the back of an airplane seat
683,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.
686,project drive-in movies without expensive projection equipment
689,dog collars could have their name/number scrolling on it in case they get lost.
693,"Instead of a mobile above a child's crib, project soothing images on the ceiling."
695,Project images as a decoy during military missions.
696,carpet or fabric that can sense when it needs cleaning and alerts the owner.
698,shoes that can gauge distance/mileage and tell you how fast you are walking or running and also act as a gps.
699,"It could be used as a cheaper means of television screens, computer monitors and the like."
700,"Project images on the floor of a building, to direct people to the exits in case of emergency, or just point them to different locations."
701,It could be used to make underwater screens where normal electronics that display images and videos cannot.
702,There are many possible military applications. One is certainly to make soldiers' clothes camouflage.
703,It can be given as a gift to someone with special pictures
704,cover a wall with the fabric and stream your favorite shows on it instead of having a tv.
705,"Cover the walls of your house with fabric, change the color of the room anytime you want."
706,Make any wall into a television.
707,It can be a tool to show your emotions depending on the color that is displayed.
708,It could be used for cheap and makeshift education materials in poor countries and communities. Educational and instructional video could be displayed to a large amount of people without needing equipment.
709,cover the walls of a baby room with fabric that displays calming ocean views/fish and has relaxing sounds for the baby.
710,Great for a more comfortable movie experience!
711,Change billboards at any time without having to climb up and replace the picture.
712,"It could usher in a new age of digital interior decoration: consumers could decide the patterns for their drapes, sofas etc. on the fly and change them at any time without needing to invest in new materials."
715,This can be used as a fun family portrait. So that all family members can share their memories; it can be place in the living room.
718,"It could introduce many new possibilities for art, since images and video that are usually static and flat could be twisted, folded and shaped."
721,Create large-scale interactive video games (think laser-tag style) with images projected on every wall and surface.
722,stores could hang large fabric pieces over aisles to display what is in the aisles and what's currently on sale.
723,"It could be used for a cheap means of advertising. Suddenly everyone could have access to their own billboards, signs, etc. that could be updated at any time digitally."
725,"blankets could display news, videos, tv or calming scenes to help you relax."
726,It would allow for impromptu displays to others. You could be carrying your handkerchief around and need to show someone something on video and it would provide the means.
727,"blanket or pillow that can interact on a website so you can shop, such as amazon.com"
728,"It could usher in a new age of fashion, where people wear blank clothes that are simply a canvas, and the design is chosen and updated digitally and can be changed at will."
729,Use as a classroom smartboard without the need to take up space or move equipment around from room to room.
730,Can be used as advertisement for certain brands.
731,Can be used as identification at work or at certain events.
732,Can be used to change the design of a shirt over a period of time.
733,"Products that contain fabric could advertise to customers in stores in real time. For example, I could walk down the bedding aisle and see different commercials displaying on the products."
734,As a replacement for projectors and projector screens.
735,"This fabric could be used as a school uniform, and can change colors as instructed by teachers."
736,Can be used to show videos about a vacation to a relative.
737,"Large pieces of fabric could be used to hide unsightly buildings, graffiti or other eyesores where cleaning them up is otherwise too expensive and not feasible. They could simply be covered with the fabric and then it could be made to blend in with the surroundings."
738,Can be used to gather support for a protest.
739,"I think this fabric can be wearable and if people hug you, it will gradually change colors and everyone will know how loved you are!!"
742,You can change its colors depending on your relationship status.
743,Tablecloths in restaurants could be used to provide real time interactivity or entertainment to all customers.
746,It will remind you about daily activities.
749,Digital art museums using pieces of fabric that are updated manually could become a new thing.
750,Can be used to create a pillow that doubles as a movie viewer.
752,Can be used as a shower curtain that can show movies.
757,Can be used as a billboard.
758,Use it to show videos in classrooms more easily
759,Use it to promote different brands
760,Use it to promote movies
761,Use it to quickly change looks without having to change clothes
762,Use it to create moving art for your home
763,Use it on bedding to quickly change the look of your bedroom
764,Can be used as a kite to display a message or advertisement.
765,use it on any fabric around the home to make it interactive and changeable quickly
766,Can be used as a part of a phone.
767,"Cover an entire wall in it to make it look like the wall isn't there, and you're instead looking at the outside"
768,"cover a couch in fabric that looks like water, when you come in contact with it it causes ripples"
769,"create a shirt with a small flame on the front, when you hug someone it puts the flame out and causes smoke."
770,use it in concert with a video of the scenery your standing in front of to make yourself invisible (from a particular angle) even when moving.
771,Cover your mousepad with it to make it interactive. (again I like the rippling water idea.)
772,create scarves that show various effects. Snow/fire/rain/clouds etc
773,cover your ceiling in panels of it to make it look like a moving sky
774,Cover a tent in animated (as if by wind) brush to create the perfect camo
775,"A prank. Put it behind what looks like a mirror frame. When unsuspecting people look in to it they see someone other than themselves, animated."
776,Use it as a rug. Make it look like a grate with an animated crocodile/other animal underneath.
777,"Use it on the floor to make a far more realistic version of ""the floor is lava"" game"
780,Cover books with it and create an animation that advertises or enhances the story
782,use it on lamp shades to add a moving scene
785,"You could use it to make signs around the house to remind kids of things to do (chores, schedule, etc)."
786,It would be good for displaying recipes while at the stove cooking.
787,It would be useful for sharing video with places around the house there normally aren't TVs and that you wouldn't want to have an electronic device (bathtub/bathroom).
788,"It would be really cool to use to display photographs or videos for a birthday, anniversary, engagement, graduation, etc. party."
789,Wearable tablet computers would be a useful application.
790,It could be used to make clothes that can change based on what colors you feel like wearing or camouflage.
791,It could be used to make portable interactive games.
792,It could be used as a carpet or area rug that interacts with people when they walk on it.
793,It could be used to make curtains that change color or shade based on the amount of sunlight coming in.
794,"It would be useful for athletic activities - easily change the color of a shirt for setting up who's on what team rather than having to wear a separate pinny over, for example."
795,"It would be useful in a hospital setting - for instance, patient blankets that change colors based on certain statuses (NPO, diabetic, allergic to a certain type of medication) so that nurses and doctors who entered a patient's room would know an immediately important fact about the patient without having to read a chart."
796,"Restaurants could have color-changing napkins that would alert the staff when a table is ready to order or when they're finished so they know, without being flagged down, that a particular table needs their attention."
797,"Bicyclists could use color-changing clothing that would adapt to the level of outdoor light and their surroundings, making them more or less visible as necessary to help prevent accidents."
798,A t-shirt that can advertise different products or things.
799,It could be used to make a newspaper that would fold up and easily fit in a purse.
800,Interactive political yard signs or t-shirts - someone could touch the sign in order to get more information about the candidate.
801,Cover a room's ceiling or a wall with the fabric in order to have a giant display or simply something that changes color with mood.
802,A flag that changes between various nations.
803,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example."
804,"It would be useful for making an interactive beach towel - the towel could let the person using it read a book, watch something, or play a small interactive game without having to have another item or device with them."
805,Interactive bulletin boards in school classrooms and hallways would be another potential use - allow parents to browse through a whole assortment of work their child has done at a simple touch.
806,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.
961,Used as a type of green screen for visual effects
979,"tie die shirt, senses touch, leave handprints on your shirt for a cool design just by touching it."
983,made into various articles of clothing to see how potential buys would look before actually purchasing them
1004,A mobile advertising board. People could be paid to put large ads on their clothing.
1012,Display peoples names on seats.  When someone is at a movie or a game they can see where their seat is.
1024,stadiums can use them as changeable banners when different teams play
1026,Hang on the wall to have an ever changing picture that constantly changes over time.
1027,Electronic reader boards on peoples clothing.
1028,Wearable advertising
1035,There could be an option to display certain patterns or colors in order to be more easily spotted by someone you're supposed to meet up with.
1037,A fabric underwear that tell your body temp.
1038,Cover a couch in them and you can have a different colored couch every day.
1049,A color changing swimming suit based on how warm the water is.
1053,Made into an arm band or head band that broadcasts your favorite sports teams colors to show team spirit
1055,Clothing that can change color without re dying
1057,crafts for children
1058,"downloadable shirts ""art"" which you can pay a small fee for as fashions change"
1061,write signs on shirts
1062,A mood shirt that lets you know your teachers feelings.
1063,Display ads in empty seats at sporting events.
1064,demonstrations
1066,work projekcts
1067,advertising on sports jerseys
1070,change color of clothing
1072,Use the fabric as a clothing.
1074,business proposals
1077,games
1081,Advertise on people's wardrobe.
1082,Display team logos in seats at sporting events.
1083,keep reminders
1087,Wear your big work presentation on your work clothes so you don't forget it. or have to carry it.
1090,Make tangible books out of the material.
1091,Portable video screens for offices
1092,tell time
1093,A trampoline that shows your imprint when you land.
1098,could be used to replace the blackboard and even classroom (like for trips) to aid a teacher
1101,tide chart for surfing
1103,a scholastic book that a child could fold up and put in their pocket
1106,Change the color of your clothes if you're out with friends and a buddy has the same exact shirt on.
1107,Replace stiff monitors.
1108,A dog shirt that shows when a dog is losing weight.
1110,The fabric display can be part of emergency kits and includes various emergency messages
1111,Use on t-shirts  and other clothing for images.
1112,"Use for a game, like twister, so you don't have to actually have the game with you and can play where ever you go."
1114,change clothes color with mood
1118,Military camouflage that adapts to the enviroment
1122,a mobile video platform that would take virtually no space to carry
1126,A rug shaped like a piano that plays in tune with the steps taken on it.
1127,Make clothing that can display moving images.
1129,Table cloths that display the menu
1130,let others know your relationship status at bar
1131,"Hang on the wall and display family pictures through a constant flow, like an album."
1133,Use them as teaching props: art studies and math boards.
1134,A blanket for toddlers that alarms parents with they wet bed.
1136,"Create an entire wardrobe form a single suit.  Make a suit out of the fabric, and set the display to different colors/textures.  Even use skin colored texture to create short sleeve/short-pants looks."
1143,Personalized billboards from companies that reflect changes in weather.
1144,"Use as a carpet to teach dance steps, such as the waltz, or tango."
1148,this maybe a lucrative product for internet or cable service provides if it could handle the capacity
1150,Use as a stealth device for soldiers to get behind enemy lines.
1151,Foldable cell phones.
1154,identify name of song that is playing
1155,A display on a purse or sleeve showing the time and any other useful info
1159,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that."
1160,A towel that contours to body.
1163,"Hang on the side of a house, use as a projector-like entertainment piece."
1164,Color changing wall paper
1165,see if patterns or colors coordinate
1166,Help advertise your new movie by wearing the trailer on your clothes.
1167,give notification updates
1168,MAKE A TSHIRT THAT CAN CHANGE TO VARIOUS PICTURES WITH JUST A TOUCH
1169,A t-shirt with a gif of a soccer player making a goal.
1174,Make them into blankets for night-time light.
1175,You can use the fabric display technique during white out conditions
1178,A leather jacket that activates heaters when cold.
1179,Have an entire room in the house be a movie projector.
1180,Car interiors that can change color
1183,use as a teaching tool for preschoolers and toddlers
1186,comforter for a bed that you can change whenever you like
1189,"Dress your children in them, let them keep each other occupied with cartoons playing on them."
